"Date","Price","Open","High","Low","Change %"
"Nov 13, 2009","1.6678","1.6588","1.6708","1.6576","0.55"
"Nov 12, 2009","1.6587","1.6581","1.6626","1.6518","0.03"
"Nov 11, 2009","1.6582","1.6740","1.6797","1.6537","-0.93"
"Nov 10, 2009","1.6737","1.6777","1.6788","1.6602","-0.24"
"Nov 09, 2009","1.6778","1.6624","1.6844","1.6617","0.98"
"Nov 06, 2009","1.6615","1.6573","1.6637","1.6524","0.25"
"Nov 05, 2009","1.6573","1.6556","1.6636","1.6468","0.10"
"Nov 04, 2009","1.6557","1.6422","1.6598","1.6402","0.81"
"Nov 03, 2009","1.6424","1.6394","1.6456","1.6262","0.18"
"Nov 02, 2009","1.6395","1.6413","1.6478","1.6329","-0.29"
"Oct 30, 2009","1.6442","1.6560","1.6580","1.6409","-0.72"
"Oct 29, 2009","1.6562","1.6375","1.6604","1.6339","1.14"
"Oct 28, 2009","1.6375","1.6394","1.6467","1.6286","-0.11"
"Oct 27, 2009","1.6393","1.6294","1.6440","1.6286","0.61"
"Oct 26, 2009","1.6294","1.6270","1.6396","1.6251","-0.09"
"Oct 23, 2009","1.6308","1.6630","1.6693","1.6300","-1.92"
"Oct 22, 2009","1.6628","1.6620","1.6637","1.6487","0.05"
"Oct 21, 2009","1.6620","1.6379","1.6638","1.6348","1.47"
"Oct 20, 2009","1.6380","1.6407","1.6489","1.6328","-0.19"
"Oct 19, 2009","1.6411","1.6354","1.6436","1.6240","0.32"
"Oct 16, 2009","1.6358","1.6337","1.6400","1.6253","0.15"
"Oct 15, 2009","1.6333","1.6005","1.6340","1.6003","2.05"
"Oct 14, 2009","1.6005","1.5936","1.6025","1.5903","0.46"
"Oct 13, 2009","1.5932","1.5815","1.5940","1.5708","0.75"
"Oct 12, 2009","1.5813","1.5847","1.5883","1.5730","-0.21"
"Oct 09, 2009","1.5846","1.6050","1.6060","1.5826","-1.28"
"Oct 08, 2009","1.6052","1.5966","1.6118","1.5951","0.54"
"Oct 07, 2009","1.5965","1.5921","1.5976","1.5860","0.27"
"Oct 06, 2009","1.5922","1.5948","1.6049","1.5878","-0.17"
"Oct 05, 2009","1.5949","1.5932","1.6024","1.5903","0.02"
"Oct 02, 2009","1.5946","1.5894","1.5954","1.5804","0.31"
"Oct 01, 2009","1.5896","1.6002","1.6024","1.5888","-0.66"
"Sep 30, 2009","1.6002","1.5971","1.6126","1.5945","0.19"
"Sep 29, 2009","1.5971","1.5906","1.5991","1.5825","0.52"
"Sep 28, 2009","1.5889","1.5860","1.5925","1.5771","-0.36"
"Sep 25, 2009","1.5946","1.5948","1.6046","1.5918","-0.01"
"Sep 24, 2009","1.5947","1.6355","1.6387","1.5916","-2.49"
"Sep 23, 2009","1.6354","1.6382","1.6469","1.6317","-0.17"
"Sep 22, 2009","1.6382","1.6220","1.6406","1.6218","1.00"
"Sep 21, 2009","1.6220","1.6251","1.6263","1.6135","-0.31"
"Sep 18, 2009","1.6271","1.6434","1.6440","1.6232","-1.00"
"Sep 17, 2009","1.6435","1.6477","1.6568","1.6427","-0.27"
"Sep 16, 2009","1.6479","1.6490","1.6534","1.6433","-0.06"
"Sep 15, 2009","1.6489","1.6607","1.6659","1.6404","-0.71"
"Sep 14, 2009","1.6607","1.6654","1.6654","1.6522","-0.31"
"Sep 11, 2009","1.6658","1.6650","1.6742","1.6644","0.02"
"Sep 10, 2009","1.6654","1.6541","1.6688","1.6480","0.72"
"Sep 09, 2009","1.6535","1.6515","1.6592","1.6456","0.12"
"Sep 08, 2009","1.6516","1.6337","1.6587","1.6323","1.10"
"Sep 07, 2009","1.6337","1.6413","1.6444","1.6326","-0.32"
"Sep 04, 2009","1.6390","1.6324","1.6413","1.6286","0.40"
"Sep 03, 2009","1.6324","1.6281","1.6414","1.6237","0.26"
"Sep 02, 2009","1.6282","1.6127","1.6300","1.6115","0.95"
"Sep 01, 2009","1.6128","1.6286","1.6377","1.6114","-0.97"
"Aug 31, 2009","1.6286","1.6267","1.6331","1.6184","0.10"
"Aug 28, 2009","1.6269","1.6287","1.6380","1.6256","-0.11"
"Aug 27, 2009","1.6287","1.6229","1.6305","1.6153","0.36"
"Aug 26, 2009","1.6229","1.6314","1.6352","1.6160","-0.52"
"Aug 25, 2009","1.6314","1.6406","1.6446","1.6309","-0.55"
"Aug 24, 2009","1.6405","1.6512","1.6546","1.6393","-0.62"
"Aug 21, 2009","1.6507","1.6504","1.6624","1.6420","0.02"
"Aug 20, 2009","1.6504","1.6557","1.6606","1.6451","-0.33"
"Aug 19, 2009","1.6558","1.6589","1.6590","1.6376","-0.18"
"Aug 18, 2009","1.6588","1.6353","1.6595","1.6329","1.44"
"Aug 17, 2009","1.6353","1.6467","1.6483","1.6276","-1.17"
"Aug 14, 2009","1.6547","1.6566","1.6608","1.6486","-0.11"
"Aug 13, 2009","1.6566","1.6507","1.6667","1.6486","0.36"
"Aug 12, 2009","1.6506","1.6489","1.6560","1.6390","0.10"
"Aug 11, 2009","1.6490","1.6475","1.6521","1.6432","0.10"
"Aug 10, 2009","1.6474","1.6679","1.6717","1.6430","-1.27"
"Aug 07, 2009","1.6686","1.6804","1.6832","1.6651","-0.71"
"Aug 06, 2009","1.6806","1.6991","1.7028","1.6751","-1.09"
"Aug 05, 2009","1.6992","1.6949","1.7042","1.6900","0.25"
"Aug 04, 2009","1.6949","1.6931","1.7004","1.6889","0.09"
"Aug 03, 2009","1.6934","1.6757","1.6987","1.6694","1.32"
"Jul 31, 2009","1.6713","1.6504","1.6732","1.6471","1.27"
"Jul 30, 2009","1.6504","1.6356","1.6525","1.6347","0.96"
"Jul 29, 2009","1.6347","1.6408","1.6468","1.6337","-0.36"
"Jul 28, 2009","1.6406","1.6480","1.6555","1.6390","-0.46"
"Jul 27, 2009","1.6481","1.6406","1.6523","1.6381","0.33"
"Jul 24, 2009","1.6426","1.6508","1.6542","1.6390","-0.50"
"Jul 23, 2009","1.6508","1.6444","1.6584","1.6432","0.38"
"Jul 22, 2009","1.6446","1.6413","1.6503","1.6309","0.19"
"Jul 21, 2009","1.6415","1.6520","1.6527","1.6383","-0.64"
"Jul 20, 2009","1.6521","1.6372","1.6556","1.6364","1.13"
"Jul 17, 2009","1.6337","1.6408","1.6419","1.6265","-0.44"
"Jul 16, 2009","1.6409","1.6415","1.6478","1.6355","-0.04"
"Jul 15, 2009","1.6415","1.6336","1.6466","1.6300","0.50"
"Jul 14, 2009","1.6334","1.6271","1.6344","1.6228","0.39"
"Jul 13, 2009","1.6271","1.6196","1.6284","1.6031","0.37"
"Jul 10, 2009","1.6211","1.6329","1.6329","1.6153","-0.72"
"Jul 09, 2009","1.6329","1.6037","1.6379","1.6033","1.82"
"Jul 08, 2009","1.6037","1.6079","1.6138","1.5983","-0.26"
"Jul 07, 2009","1.6079","1.6294","1.6294","1.6066","-1.31"
"Jul 06, 2009","1.6292","1.6304","1.6326","1.6095","-0.24"
"Jul 03, 2009","1.6331","1.6346","1.6427","1.6301","-0.10"
"Jul 02, 2009","1.6347","1.6495","1.6500","1.6323","-0.89"
"Jul 01, 2009","1.6494","1.6474","1.6544","1.6383","0.12"
"Jun 30, 2009","1.6475","1.6570","1.6743","1.6421","-0.57"
"Jun 29, 2009","1.6570","1.6512","1.6597","1.6428","0.27"
"Jun 26, 2009","1.6526","1.6414","1.6559","1.6373","0.68"
"Jun 25, 2009","1.6415","1.6432","1.6466","1.6231","-0.11"
"Jun 24, 2009","1.6433","1.6436","1.6601","1.6367","-0.02"
"Jun 23, 2009","1.6436","1.6314","1.6473","1.6208","0.75"
"Jun 22, 2009","1.6313","1.6479","1.6515","1.6301","-1.09"
"Jun 19, 2009","1.6492","1.6355","1.6560","1.6303","0.84"
"Jun 18, 2009","1.6355","1.6425","1.6468","1.6187","-0.44"
"Jun 17, 2009","1.6427","1.6360","1.6482","1.6220","0.41"
"Jun 16, 2009","1.6360","1.6272","1.6506","1.6208","0.54"
"Jun 15, 2009","1.6272","1.6418","1.6433","1.6241","-0.36"
"Jun 12, 2009","1.6331","1.6595","1.6597","1.6331","-1.57"
"Jun 11, 2009","1.6591","1.6357","1.6620","1.6339","1.42"
"Jun 10, 2009","1.6358","1.6310","1.6472","1.6239","0.29"
"Jun 09, 2009","1.6310","1.6086","1.6361","1.5985","1.39"
"Jun 08, 2009","1.6086","1.5970","1.6102","1.5802","0.92"
"Jun 05, 2009","1.5939","1.6111","1.6241","1.5939","-1.07"
"Jun 04, 2009","1.6111","1.6296","1.6434","1.6085","-1.14"
"Jun 03, 2009","1.6296","1.6554","1.6661","1.6241","-1.56"
"Jun 02, 2009","1.6554","1.6462","1.6595","1.6323","0.56"
"Jun 01, 2009","1.6462","1.6176","1.6497","1.6160","1.64"
"May 29, 2009","1.6197","1.5947","1.6197","1.5926","1.55"
"May 28, 2009","1.5949","1.5955","1.6013","1.5852","-0.03"
"May 27, 2009","1.5953","1.5961","1.6085","1.5925","-0.05"
"May 26, 2009","1.5961","1.5908","1.5975","1.5776","0.33"
"May 25, 2009","1.5909","1.5912","1.5932","1.5834","-0.06"
"May 22, 2009","1.5918","1.5892","1.5944","1.5755","0.18"
